CVX;NUVA;Label
CVX-207;VAC1210;COVID-19 mRNA vaccine encoding the SARS-CoV-2 spike protein, original virus, 100 micrograms, unspecified
CVX-117;VAC0864;Varicella-Zoster immunoglobulin, unspecified
CVX-51;VAC0801;HepB-Hib, unspecified
CVX-322;VAC1141;Bird Flu H5N8 Vaccine, unspecified
CVX-183;VAC0111;Yellow fever vaccine, unspecified
CVX-137;VAC0156;HPV Vaccine
CVX-216;VAC1163;20-valent Pneumococcus conjugate vaccine, unspecified
CVX-54;VAC0907;Vaccine against adenovirus type 4, unspecified
CVX-18;VAC0131;Rabies vaccine, unspecified
CVX-04;VAC0550;Measles-Rubella vaccine, unspecified
CVX-104;VAC0825;Combined hepatitis A and hepatitis B vaccine, unspecified
CVX-303;VAC1228;Respiratory syncytial virus (RSV) vaccine, recombinant, F protein-derived RSVPreF3 antigen, unspecified
CVX-177;VAC1233;10-valent Pneumococcus conjugate vaccine, unspecified
CVX-150;VAC0938;Quadrivalent influenza vaccine, unspecified
CVX-78;VAC0849;Tularemia vaccine, unspecified
CVX-31;VAC0912;Hepatitis A vaccine, pediatric dose, unspecified
CVX-77;VAC0145;Tick-borne encephalitis vaccine, unspecified
CVX-518;VAC0714;VACCIN CONTRE LA COVID-19 (INACTIVE, AVEC ADJUVANT) VALNEVA
CVX-68;VAC1066;Melanoma vaccine, unspecified
CVX-03;VAC0130;MMR vaccine, live attenuated, unspecified
CVX-92;VAC0895;Venezuelan Equine Encephalitis Vaccine, Unspecified
CVX-187;VAC0567;SHINGRIX
CVX-170;VAC0506;Pentavalent DTaPHibIPV vaccine, unspecified
CVX-312;VAC1039;COVID-19 mRNA vaccine, original virus, 50 µg, unspecified
CVX-129;VAC0921;Japanese encephalitis vaccine, unspecified
CVX-152;VAC0814;Pneumococcal conjugate vaccine, serotypes unspecified
CVX-38;VAC0829;Rubella-Mumps vaccine, unspecified
CVX-06;VAC0113;Rubella vaccine, live attenuated, unspecified
CVX-59;VAC0917;Hepatitis E vaccine, unspecified
CVX-119;VAC1235;RIX4414 monovalent rotavirus vaccine, unspecified
CVX-205;VAC0938;Quadrivalent influenza vaccine, unspecified
CVX-308;VAC1188;COVID-19 mRNA vaccine encoding the spike protein of SARS-CoV-2, original virus, 3 micrograms, unspecified
CVX-26;VAC0144;Cholera vaccine, unspecified
CVX-219;VAC1188;COVID-19 mRNA vaccine encoding the spike protein of SARS-CoV-2, original virus, 3 micrograms, unspecified
CVX-165;VAC0860;HPV vaccine nonavalent, unspecified
CVX-83;VAC0911;Hepatitis A whole inactivated vaccine, monovalent, pediatric dose, unspecified
